country.name.en,iso3n,iso3c
Afghanistan,4,AFG
<U+00C5>land Islands,248,ALA
Albania,8,ALB
Algeria,12,DZA
American Samoa,16,ASM
Andorra,20,AND
Angola,24,AGO
Anguilla,660,AIA
Antarctica,10,ATA
Antigua & Barbuda,28,ATG
Argentina,32,ARG
Armenia,51,ARM
Aruba,533,ABW
Australia,36,AUS
Austria,40,AUT
Azerbaijan,31,AZE
Bahamas,44,BHS
Bahrain,48,BHR
Bangladesh,50,BGD
Barbados,52,BRB
Belarus,112,BLR
Belgium,56,BEL
Belize,84,BLZ
Benin,204,BEN
Bermuda,60,BMU
Bhutan,64,BTN
Bolivia,68,BOL
Bosnia & Herzegovina,70,BIH
Botswana,72,BWA
Bouvet Island,74,BVT
Brazil,76,BRA
British Indian Ocean Territory,86,IOT
British Virgin Islands,92,VGB
Brunei,96,BRN
Bulgaria,100,BGR
Burkina Faso,854,BFA
Burundi,108,BDI
Cambodia,116,KHM
Cameroon,120,CMR
Canada,124,CAN
Cape Verde,132,CPV
Caribbean Netherlands,535,BES
Cayman Islands,136,CYM
Central African Republic,140,CAF
Chad,148,TCD
Chile,152,CHL
China,156,CHN
Christmas Island,162,CXR
Cocos (Keeling) Islands,166,CCK
Colombia,170,COL
Comoros,174,COM
Congo - Brazzaville,178,COG
Congo - Kinshasa,180,COD
Cook Islands,184,COK
Costa Rica,188,CRI
C<U+00F4>te d¡¯Ivoire,384,CIV
Croatia,191,HRV
Cuba,192,CUB
Cura<U+00E7>ao,531,CUW
Cyprus,196,CYP
Czechia,203,CZE
Denmark,208,DNK
Djibouti,262,DJI
Dominica,212,DMA
Dominican Republic,214,DOM
Ecuador,218,ECU
Egypt,818,EGY
El Salvador,222,SLV
Equatorial Guinea,226,GNQ
Eritrea,232,ERI
Estonia,233,EST
Eswatini,748,SWZ
Ethiopia,231,ETH
Falkland Islands,238,FLK
Faroe Islands,234,FRO
Fiji,242,FJI
Finland,246,FIN
France,250,FRA
French Guiana,254,GUF
French Polynesia,258,PYF
French Southern Territories,260,ATF
Gabon,266,GAB
Gambia,270,GMB
Georgia,268,GEO
Germany,276,DEU
Ghana,288,GHA
Gibraltar,292,GIB
Greece,300,GRC
Greenland,304,GRL
Grenada,308,GRD
Guadeloupe,312,GLP
Guam,316,GUM
Guatemala,320,GTM
Guernsey,831,GGY
Guinea,324,GIN
Guinea-Bissau,624,GNB
Guyana,328,GUY
Haiti,332,HTI
Heard & McDonald Islands,334,HMD
Honduras,340,HND
Hong Kong SAR China,344,HKG
Hungary,348,HUN
Iceland,352,ISL
India,356,IND
Indonesia,360,IDN
Iran,364,IRN
Iraq,368,IRQ
Ireland,372,IRL
Isle of Man,833,IMN
Israel,376,ISR
Italy,380,ITA
Jamaica,388,JAM
Japan,392,JPN
Jersey,832,JEY
Jordan,400,JOR
Kazakhstan,398,KAZ
Kenya,404,KEN
Kiribati,296,KIR
Kuwait,414,KWT
Kyrgyzstan,417,KGZ
Laos,418,LAO
Latvia,428,LVA
Lebanon,422,LBN
Lesotho,426,LSO
Liberia,430,LBR
Libya,434,LBY
Liechtenstein,438,LIE
Lithuania,440,LTU
Luxembourg,442,LUX
Macao SAR China,446,MAC
Madagascar,450,MDG
Malawi,454,MWI
Malaysia,458,MYS
Maldives,462,MDV
Mali,466,MLI
Malta,470,MLT
Marshall Islands,584,MHL
Martinique,474,MTQ
Mauritania,478,MRT
Mauritius,480,MUS
Mayotte,175,MYT
Mexico,484,MEX
Micronesia (Federated States of),583,FSM
Moldova,498,MDA
Monaco,492,MCO
Mongolia,496,MNG
Montenegro,499,MNE
Montserrat,500,MSR
Morocco,504,MAR
Mozambique,508,MOZ
Myanmar (Burma),104,MMR
Namibia,516,NAM
Nauru,520,NRU
Nepal,524,NPL
Netherlands,528,NLD
New Caledonia,540,NCL
New Zealand,554,NZL
Nicaragua,558,NIC
Niger,562,NER
Nigeria,566,NGA
Niue,570,NIU
Norfolk Island,574,NFK
North Korea,408,PRK
North Macedonia,807,MKD
Northern Mariana Islands,580,MNP
Norway,578,NOR
Oman,512,OMN
Pakistan,586,PAK
Palau,585,PLW
Palestinian Territories,275,PSE
Panama,591,PAN
Papua New Guinea,598,PNG
Paraguay,600,PRY
Peru,604,PER
Philippines,608,PHL
Pitcairn Islands,612,PCN
Poland,616,POL
Portugal,620,PRT
Puerto Rico,630,PRI
Qatar,634,QAT
R¨¦union,638,REU
Romania,642,ROU
Russia,643,RUS
Rwanda,646,RWA
Saint Martin (French part),663,MAF
Samoa,882,WSM
San Marino,674,SMR
S<U+00E3>o Tom¨¦ & Pr¨ªncipe,678,STP
Saudi Arabia,682,SAU
Senegal,686,SEN
Serbia,688,SRB
Seychelles,690,SYC
Sierra Leone,694,SLE
Singapore,702,SGP
Sint Maarten,534,SXM
Slovakia,703,SVK
Slovenia,705,SVN
Solomon Islands,90,SLB
Somalia,706,SOM
South Africa,710,ZAF
South Georgia & South Sandwich Islands,239,SGS
South Korea,410,KOR
South Sudan,728,SSD
Spain,724,ESP
Sri Lanka,144,LKA
St. Barth¨¦lemy,652,BLM
St. Helena,654,SHN
St. Kitts & Nevis,659,KNA
St. Lucia,662,LCA
St. Pierre & Miquelon,666,SPM
St. Vincent & Grenadines,670,VCT
Sudan,729,SDN
Suriname,740,SUR
Svalbard & Jan Mayen,744,SJM
Sweden,752,SWE
Switzerland,756,CHE
Syria,760,SYR
Taiwan,158,TWN
Tajikistan,762,TJK
Tanzania,834,TZA
Thailand,764,THA
Timor-Leste,626,TLS
Togo,768,TGO
Tokelau,772,TKL
Tonga,776,TON
Trinidad & Tobago,780,TTO
Tunisia,788,TUN
Turkey,792,TUR
Turkmenistan,795,TKM
Turks & Caicos Islands,796,TCA
Tuvalu,798,TUV
U.S. Virgin Islands,850,VIR
Uganda,800,UGA
Ukraine,804,UKR
United Arab Emirates,784,ARE
United Kingdom,826,GBR
United States,840,USA
United States Minor Outlying Islands (the),581,UMI
Uruguay,858,URY
Uzbekistan,860,UZB
Vanuatu,548,VUT
Vatican City,336,VAT
Venezuela,862,VEN
Vietnam,704,VNM
Wallis & Futuna,876,WLF
Western Sahara,732,ESH
Yemen,887,YEM
Zambia,894,ZMB
Zimbabwe,716,ZWE
